geneID	C_1_237N	C_2_281N	C_3_280N	D5_1_267N	D5_2_284L	D5_3_284N
ENSMUSG00000102343	0	0	0	0	0	6
ENSMUSG00000025902	40	89	165	357	52	172
ENSMUSG00000104238	8	2	11	2	0	18
ENSMUSG00000118917	2	1	0	0	0	0
ENSMUSG00000102269	4	5	0	14	3	0
ENSMUSG00000098104	21	1	6	19	18	9
ENSMUSG00000051951	41	50	63	48	123	132
ENSMUSG00000102851	0	0	0	0	0	0
ENSMUSG00000104017	0	5	0	2	0	15
ENSMUSG00000103025	0	0	6	0	8	12
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103147	0	3	7	1	0	10
ENSMUSG00000103161	0	0	0	2	14	4
ENSMUSG00000102331	0	0	0	0	8	12
ENSMUSG00000103377	18	10	0	0	28	14
ENSMUSG00000103201	1	6	2	0	0	8
ENSMUSG00000102948	0	2	0	0	0	0
ENSMUSG00000025900	6	15	7	0	0	18
ENSMUSG00000104123	14	22	0	0	0	0
ENSMUSG00000103922	91	7	45	70	90	18
ENSMUSG00000033845	485	434	291	405	441	377
ENSMUSG00000102275	0	7	4	4	0	1
ENSMUSG00000120403	0	0	2	0	0	5
ENSMUSG00000104217	0	47	0	0	0	0
ENSMUSG00000025903	1143	1331	677	972	1363	823
ENSMUSG00000033813	2815	3246	2062	1903	3136	2130
ENSMUSG00000062588	18	23	25	16	25	29
ENSMUSG00000104352	4	0	0	0	0	0
ENSMUSG00000104046	4	0	0	0	4	2
ENSMUSG00000102907	14	18	1	0	0	0
ENSMUSG00000002459	31	55	69	42	39	28
ENSMUSG00000091305	0	0	2	0	0	0
ENSMUSG00000102653	0	0	0	0	18	0
ENSMUSG00000091665	0	4	15	0	0	0
ENSMUSG00000033793	1514	1963	2260	1910	1935	1507
ENSMUSG00000085623	3	0	8	0	20	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000087247	3	0	0	0	0	0
ENSMUSG00000103355	5	2	0	4	0	0
ENSMUSG00000103845	10	11	3	30	2	19
ENSMUSG00000033740	0	0	0	0	0	0
ENSMUSG00000102135	6	7	0	4	3	0
ENSMUSG00000120372	8	9	0	8	0	1
ENSMUSG00000090031	76	10	4	17	172	227
ENSMUSG00000025907	2440	2443	2546	2559	2578	2317
ENSMUSG00000048538	151	106	92	47	140	97
ENSMUSG00000051285	1771	2569	1749	1432	2698	1340
ENSMUSG00000098201	0	0	0	0	0	0
ENSMUSG00000103509	85	39	53	95	108	72
ENSMUSG00000101571	0	0	0	0	0	0
ENSMUSG00000025909	63	39	56	138	111	25
ENSMUSG00002074990	0	1	0	0	0	0
ENSMUSG00000103884	0	1	0	0	0	0
ENSMUSG00002075967	0	0	0	1	1	0
ENSMUSG00000086195	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0
ENSMUSG00000103933	3	1	0	0	0	1
ENSMUSG00000084353	4	13	6	13	0	12
ENSMUSG00000102253	24	0	0	16	8	0
ENSMUSG00000086235	3	0	2	1	0	0
ENSMUSG00000066693	2	0	1	10	2	0
ENSMUSG00000103819	2	0	1	0	2	30
ENSMUSG00000102647	2	0	0	12	6	8
ENSMUSG00000061024	1041	1290	2543	1833	2005	2076
ENSMUSG00000025911	188	197	155	163	273	113
ENSMUSG00000067879	0	5	1	0	4	4
ENSMUSG00000079671	64	56	72	68	79	68
ENSMUSG00000081441	34	37	38	50	88	52
ENSMUSG00000025912	116	143	225	170	86	157
ENSMUSG00000097893	0	14	0	0	0	2
ENSMUSG00000045210	2427	2021	2450	2597	2978	2467
ENSMUSG00000025915	404	373	331	415	497	387
ENSMUSG00000046334	0	0	1	3	1	3
ENSMUSG00002075801	0	0	0	0	0	0
ENSMUSG00000098234	204	306	195	174	188	136
ENSMUSG00000046101	6	4	13	8	6	11
ENSMUSG00000093178	16	60	34	35	41	37
ENSMUSG00000104025	0	10	10	8	0	4
ENSMUSG00000025916	0	4	0	1	0	0
ENSMUSG00000087199	0	0	0	0	0	0
ENSMUSG00000099032	220	125	50	148	158	68
ENSMUSG00000121270	2	22	14	4	0	8
ENSMUSG00000025917	1131	738	759	939	1212	708
ENSMUSG00000056763	810	1157	1086	1146	1282	953
ENSMUSG00000102356	0	0	0	0	0	12
ENSMUSG00000100212	1	2	0	0	2	20
ENSMUSG00002076532	0	0	0	0	0	0
ENSMUSG00000067851	2822	2534	3314	3585	3560	3372
ENSMUSG00000102556	24	53	22	41	49	67
ENSMUSG00000057715	16	5	0	1	2	8
ENSMUSG00000103825	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0
ENSMUSG00000103561	3	0	0	0	0	0
ENSMUSG00000097628	13	0	0	2	2	0
ENSMUSG00000077318	0	0	0	0	0	0
ENSMUSG00000101827	0	1	0	2	0	7
ENSMUSG00000048960	4363	4489	6722	5529	6543	6815
ENSMUSG00000025938	23	111	48	63	96	122
ENSMUSG00000101476	0	0	0	0	0	5
ENSMUSG00000042414	0	3	23	6	5	4
ENSMUSG00000005886	2848	2253	3731	3633	4007	2613
ENSMUSG00002076346	0	0	0	1	0	0
ENSMUSG00000102639	0	0	0	10	10	0
