Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
0610005C13Rik,0610005C13Rik,7.76E-01,?,7.80E-01,-1.28E+00,4.74E+00,6.07E+00
0610006L08Rik,0610006L08Rik,9.49E-01,?,1.13E+00,1.13E+00,2.61E+00,2.32E+00
0610009B22Rik,0610009B22Rik,3.55E-03,5.20E-02,2.92E-01,-3.43E+00,1.88E+01,6.45E+01
0610009E02Rik,0610009E02Rik,4.00E-02,?,6.51E+00,6.51E+00,1.08E+01,1.67E+00
0610009L18Rik,0610009L18Rik,2.36E-01,5.53E-01,5.99E-01,-1.67E+00,1.30E+01,2.17E+01
0610010F05Rik,0610010F05Rik,4.42E-01,7.31E-01,9.02E-01,-1.11E+00,4.53E+02,5.03E+02
Ighv5-9,Ighv5-9,9.67E-17,5.79E-13,1.49E-11,-6.71E+10,1.50E-19,1.01E-08
0610012D04Rik,0610012D04Rik,6.39E-01,?,4.68E-01,-2.14E+00,9.53E-01,2.04E+00
0610012G03Rik,0610012G03Rik,1.57E-01,4.53E-01,7.63E-01,-1.31E+00,1.91E+02,2.50E+02
0610025J13Rik,0610025J13Rik,6.39E-01,?,4.72E-01,-2.12E+00,1.96E+00,4.16E+00
0610030E20Rik,0610030E20Rik,7.75E-01,9.16E-01,1.04E+00,1.04E+00,3.41E+02,3.27E+02
0610031O16Rik,0610031O16Rik,7.17E-01,?,1.75E+00,1.75E+00,4.07E+00,2.32E+00
0610033M10Rik,0610033M10Rik,2.32E-01,?,3.37E+00,3.37E+00,6.76E+00,2.01E+00
0610038B21Rik,0610038B21Rik,4.51E-01,7.37E-01,8.64E-01,-1.16E+00,8.78E+01,1.02E+02
0610039K10Rik,0610039K10Rik,4.23E-01,7.17E-01,7.23E-01,-1.38E+00,1.51E+01,2.09E+01
0610040B10Rik,0610040B10Rik,7.03E-01,?,1.33E+00,1.33E+00,6.36E+00,4.79E+00
0610040F04Rik,0610040F04Rik,1.22E-01,?,1.98E+01,1.98E+01,3.54E+00,1.79E-01
0610040J01Rik,0610040J01Rik,2.05E-02,1.51E-01,3.98E+00,3.98E+00,1.99E+01,5.00E+00
0610043K17Rik,0610043K17Rik,2.64E-01,5.82E-01,7.37E-01,-1.36E+00,8.41E+01,1.14E+02
0710001A04Rik,0710001A04Rik,2.82E-01,?,9.89E+00,9.89E+00,1.77E+00,1.79E-01
1010001B22Rik,1010001B22Rik,8.49E-01,?,7.18E-01,-1.39E+00,1.80E+00,2.50E+00
1100001I12Rik,1100001I12Rik,9.66E-01,?,1.08E+00,1.08E+00,4.97E+00,4.61E+00
1110002E22Rik,1110002E22Rik,4.89E-01,7.61E-01,1.15E+00,1.15E+00,1.22E+02,1.06E+02
1110002J07Rik,1110002J07Rik,9.99E-01,?,1.00E+00,1.00E+00,2.05E+00,2.04E+00
1110002L01Rik,1110002L01Rik,4.55E-01,7.39E-01,7.49E-01,-1.34E+00,4.92E+01,6.58E+01
1110003F10Rik,1110003F10Rik,4.63E-01,?,1.99E+00,1.99E+00,6.99E+00,3.51E+00
1110004F10Rik,1110004F10Rik,5.04E-02,2.52E-01,8.09E-01,-1.24E+00,2.09E+03,2.58E+03
1110006O24Rik,1110006O24Rik,8.25E-01,?,8.26E-01,-1.21E+00,5.94E+00,7.19E+00
1110008P14Rik,1110008P14Rik,9.63E-02,3.55E-01,1.59E+00,1.59E+00,8.43E+01,5.30E+01
1110012L19Rik,1110012L19Rik,9.58E-02,3.54E-01,6.76E-01,-1.48E+00,1.06E+02,1.58E+02
1110013H19Rik,1110013H19Rik,4.43E-01,?,1.95E+00,1.95E+00,5.89E+00,3.03E+00
1110017D15Rik,1110017D15Rik,1.37E-01,?,5.04E-02,-1.98E+01,1.78E-01,3.53E+00
1110018N20Rik,1110018N20Rik,9.18E-01,?,1.08E+00,1.08E+00,1.13E+01,1.05E+01
1110019D14Rik,1110019D14Rik,1.80E-01,4.86E-01,5.43E-01,-1.84E+00,1.65E+01,3.03E+01
1110020A21Rik,1110020A21Rik,2.80E-01,?,2.61E+00,2.61E+00,7.80E+00,2.99E+00
1110025M09Rik,1110025M09Rik,4.58E-01,?,2.10E+00,2.10E+00,5.16E+00,2.45E+00
1110032A03Rik,1110032A03Rik,1.69E-01,4.71E-01,7.75E-01,-1.29E+00,1.30E+02,1.68E+02
1110035H17Rik,1110035H17Rik,2.10E-01,?,2.92E+00,2.92E+00,6.62E+00,2.27E+00
1110038B12Rik,1110038B12Rik,9.66E-01,9.89E-01,9.89E-01,-1.01E+00,1.60E+02,1.62E+02
1110038F14Rik,1110038F14Rik,8.74E-01,9.55E-01,1.03E+00,1.03E+00,3.50E+02,3.39E+02
1110046J04Rik,1110046J04Rik,6.92E-02,3.01E-01,6.10E-01,-1.64E+00,4.52E+01,7.42E+01
1110051M20Rik,1110051M20Rik,6.49E-01,8.54E-01,1.07E+00,1.07E+00,3.09E+02,2.89E+02
Ighv14-3,Ighv14-3,4.51E-09,4.50E-06,2.29E-08,-4.38E+07,5.92E-13,2.59E-05
1110059G10Rik,1110059G10Rik,1.04E-01,3.69E-01,6.70E-01,-1.49E+00,9.15E+01,1.37E+02
1110065P20Rik,1110065P20Rik,8.76E-01,9.56E-01,9.51E-01,-1.05E+00,4.94E+01,5.20E+01
1190001M18Rik,1190001M18Rik,2.82E-01,?,2.42E+00,2.42E+00,5.70E+00,2.36E+00
1190005I06Rik,1190005I06Rik,3.33E-01,?,8.45E+00,8.45E+00,1.69E+00,2.00E-01
1190007I07Rik,1190007I07Rik,4.26E-01,7.19E-01,6.12E-01,-1.63E+00,1.27E+01,2.07E+01
1200007C13Rik,1200007C13Rik,1.60E-01,4.56E-01,1.85E+00,1.85E+00,5.19E+01,2.81E+01
1300002E11Rik,1300002E11Rik,5.57E-01,8.04E-01,1.12E+00,1.12E+00,2.31E+02,2.06E+02
1300014J16Rik,1300014J16Rik,6.22E-01,8.41E-01,7.62E-01,-1.31E+00,1.76E+01,2.31E+01
