geneID	C_1_237N	C_2_281N	C_3_280N	D14_1_237R	D14_2_238R	D14_3_266R
ENSMUSG00000102343	0	0	0	0	0	0
ENSMUSG00000025902	40	89	165	100	131	215
ENSMUSG00000104238	8	2	11	2	0	0
ENSMUSG00000118917	2	1	0	0	0	0
ENSMUSG00000102269	4	5	0	0	3	0
ENSMUSG00000098104	21	1	6	19	18	31
ENSMUSG00000051951	41	50	63	53	76	56
ENSMUSG00000102851	0	0	0	0	0	0
ENSMUSG00000104017	0	5	0	5	8	23
ENSMUSG00000103025	0	0	6	6	2	16
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103147	0	3	7	14	7	3
ENSMUSG00000103161	0	0	0	4	0	6
ENSMUSG00000102331	0	0	0	1	2	11
ENSMUSG00000103377	18	10	0	10	18	0
ENSMUSG00000103201	1	6	2	4	0	2
ENSMUSG00000102948	0	2	0	0	6	0
ENSMUSG00000025900	6	15	7	9	11	34
ENSMUSG00000104123	14	22	0	0	2	0
ENSMUSG00000103922	91	7	45	79	14	53
ENSMUSG00000033845	485	434	291	392	462	357
ENSMUSG00000102275	0	7	4	0	0	4
ENSMUSG00000120403	0	0	2	2	2	0
ENSMUSG00000104217	0	47	0	21	0	0
ENSMUSG00000025903	1143	1331	677	934	862	995
ENSMUSG00000033813	2815	3246	2062	2277	2197	2151
ENSMUSG00000062588	18	23	25	25	22	2
ENSMUSG00000104352	4	0	0	0	0	0
ENSMUSG00000104046	4	0	0	8	0	0
ENSMUSG00000102907	14	18	1	0	5	0
ENSMUSG00000002459	31	55	69	31	64	68
ENSMUSG00000091305	0	0	2	0	0	0
ENSMUSG00000102653	0	0	0	1	17	10
ENSMUSG00000091665	0	4	15	0	0	0
ENSMUSG00000033793	1514	1963	2260	2238	1837	1916
ENSMUSG00000085623	3	0	8	4	4	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000087247	3	0	0	0	0	0
ENSMUSG00000103355	5	2	0	4	1	7
ENSMUSG00000103845	10	11	3	16	11	11
ENSMUSG00000033740	0	0	0	0	0	0
ENSMUSG00000102135	6	7	0	4	3	5
ENSMUSG00000120372	8	9	0	0	2	0
ENSMUSG00000090031	76	10	4	277	77	2
ENSMUSG00000025907	2440	2443	2546	2803	2694	2818
ENSMUSG00000048538	151	106	92	65	86	114
ENSMUSG00000051285	1771	2569	1749	1446	1612	1668
ENSMUSG00000098201	0	0	0	0	0	0
ENSMUSG00000103509	85	39	53	67	98	127
ENSMUSG00000101571	0	0	0	0	0	0
ENSMUSG00000025909	63	39	56	125	58	74
ENSMUSG00002074990	0	1	0	0	0	0
ENSMUSG00000103884	0	1	0	0	0	0
ENSMUSG00002075967	0	0	0	0	0	1
ENSMUSG00000086195	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	2
ENSMUSG00000103933	3	1	0	0	2	1
ENSMUSG00000084353	4	13	6	10	10	17
ENSMUSG00000102253	24	0	0	0	0	2
ENSMUSG00000086235	3	0	2	12	4	2
ENSMUSG00000066693	2	0	1	5	4	0
ENSMUSG00000103819	2	0	1	4	4	0
ENSMUSG00000102647	2	0	0	4	4	11
ENSMUSG00000061024	1041	1290	2543	1653	1192	1610
ENSMUSG00000025911	188	197	155	133	180	255
ENSMUSG00000067879	0	5	1	0	4	1
ENSMUSG00000079671	64	56	72	10	68	25
ENSMUSG00000081441	34	37	38	69	66	93
ENSMUSG00000025912	116	143	225	132	113	118
ENSMUSG00000097893	0	14	0	6	0	0
ENSMUSG00000045210	2427	2021	2450	2515	2534	3854
ENSMUSG00000025915	404	373	331	249	273	248
ENSMUSG00000046334	0	0	1	0	7	6
ENSMUSG00002075801	0	0	0	0	0	0
ENSMUSG00000098234	204	306	195	200	155	135
ENSMUSG00000046101	6	4	13	4	3	11
